Title,Year,Authors,URL,DOI,Source,Abstract
"Rep Smarter, Not Harder: AI Hypertrophy Coaching with Wearable Sensors and Edge Neural Networks (2025)",2025,"Grant King, Musa Azeem, Savannah Noblitt, Ramtin Zand, Homayoun Valafar",http://arxiv.org/abs/2512.11854v1,10.48550/arxiv.2512.11854,arXiv,"Optimizing resistance training for hypertrophy requires balancing proximity to muscular failure, often quantified by Repetitions in Reserve (RiR), with fatigue management. However, subjective RiR assessment is unreliable, leading to suboptimal training stimuli or excessive fatigue. This paper introduces a novel system for real-time feedback on near-failure states (RiR $\le$ 2) during resistance exercise using only a single wrist-mounted Inertial Measurement Unit (IMU). We propose a two-stage pipeline suitable for edge deployment: first, a ResNet-based model segments repetitions from the 6-axis IMU data in real-time. Second, features derived from this segmentation, alongside direct convolutional features and historical context captured by an LSTM, are used by a classification model to identify exercise windows corresponding to near-failure states. Using a newly collected dataset from 13 diverse participants performing preacher curls to failure (631 total reps), our segmentation model achieved an F1 score of 0.83, and the near-failure classifier achieved an F1 score of 0.82 under simulated real-time evaluation conditions (1.6 Hz inference rate). Deployment on a Raspberry Pi 5 yielded an average inference latency of 112 ms, and on an iPhone 16 yielded 23.5 ms, confirming the feasibility for edge computation. This work demonstrates a practical approach for objective, real-time training intensity feedback using minimal hardware, paving the way for accessible AI-driven hypertrophy coaching tools that help users manage intensity and fatigue effectively."
The Mechanisms of Muscle Hypertrophy and Their Application to Resistance Training (2010),2010,Brad J. Schöenfeld,https://doi.org/10.1519/jsc.0b013e3181e840f3,10.1519/jsc.0b013e3181e840f3,Openalex,"The quest to increase lean body mass is widely pursued by those who lift weights. Research is lacking, however, as to the best approach for maximizing exercise-induced muscle growth. Bodybuilders generally train with moderate loads and fairly short rest intervals that induce high amounts of metabolic stress. Powerlifters, on the other hand, routinely train with high-intensity loads and lengthy rest periods between sets. Although both groups are known to display impressive muscularity, it is not clear which method is superior for hypertrophic gains. It has been shown that many factors mediate the hypertrophic process and that mechanical tension, muscle damage, and metabolic stress all can play a role in exercise-induced muscle growth. Therefore, the purpose of this paper is twofold: (a) to extensively review the literature as to the mechanisms of muscle hypertrophy and their application to exercise training and (b) to draw conclusions from the research as to the optimal protocol for maximizing muscle growth."
Early skeletal muscle hypertrophy and architectural changes in response to high-intensity resistance training (2006),2006,"Olivier Seynnes, Martine de Boer, Marco Narici",https://doi.org/10.1152/japplphysiol.00789.2006,10.1152/japplphysiol.00789.2006,Openalex,"The onset of whole muscle hypertrophy in response to overloading is poorly documented. The purpose of this study was to assess the early changes in muscle size and architecture during a 35-day high-intensity resistance training (RT) program. Seven young healthy volunteers performed bilateral leg extension three times per week on a gravity-independent flywheel ergometer. Cross-sectional area (CSA) in the central (C) and distal (D) regions of the quadriceps femoris (QF), muscle architecture, maximal voluntary contraction (MVC), and electromyographic (EMG) activity were measured before and after 10, 20, and 35 days of RT. By the end of the training period, MVC and EMG activity increased by 38.9 +/- 5.7 and 34.8% +/- 4.7%, respectively. Significant increase in QF CSA (3.5 and 5.2% in the C and D regions, respectively) was observed after 20 days of training, along with a 2.4 +/- 0.7% increase in fascicle length from the 10th day of training. By the end of the 35-day training period, the total increase in QF CSA for regions C and D was 6.5 +/- 1.1 and 7.4 +/- 0.8%, respectively, and fascicle length and pennation angle increased by 9.9 +/- 1.2 and 7.7 +/- 1.3%, respectively. The results show for the first time that changes in muscle size are detectable after only 3 wk of RT and that remodeling of muscle architecture precedes gains in muscle CSA. Muscle hypertrophy seems to contribute to strength gains earlier than previously reported; flywheel training seems particularly effective for inducing these early structural adaptations."
Muscle hypertrophy response to resistance training in older women (1991),1991,"Susan L. Charette, Lawrence McEvoy, G. Pyka, C. Snow-Harter, David Guido, et al.",https://doi.org/10.1152/jappl.1991.70.5.1912,10.1152/jappl.1991.70.5.1912,Openalex,"We conducted a 12-wk resistance training program in elderly women [mean age 69 +/- 1.0 (SE) yr] to determine whether increases in muscle strength are associated with changes in cross-sectional fiber area of the vastus lateralis muscle. Twenty-seven healthy women were randomly assigned to either a control or exercise group. The program was satisfactorily completed and adequate biopsy material obtained from 6 controls and 13 exercisers. After initial testing of baseline maximal strength, exercisers began a training regimen consisting of seven exercises that stressed primary muscle groups of the lower extremities. No active intervention was prescribed for the controls. Increases in muscle strength of the exercising subjects were significant compared with baseline values (28-115%) in all muscle groups. No significant strength changes were observed in the controls. Cross-sectional area of type II muscle fibers significantly increased in the exercisers (20.1 +/- 6.8%, P = 0.02) compared with baseline. In contrast, no significant change in type II fiber area was observed in the controls. No significant changes in type I fiber area were found in either group. We conclude that a program of resistance exercise can be safely carried out by elderly women, such a program significantly increases muscle strength, and such gains are due, at least in part, to muscle hypertrophy."
Timing of postexercise protein intake is important for muscle hypertrophy with resistance training in elderly humans (2001),2001,"B. Esmarck, Jesper L. Andersen, Steen Olsen, Erik A. Richter, M. Mizuno, et al.",https://doi.org/10.1111/j.1469-7793.2001.00301.x,10.1111/j.1469-7793.2001.00301.x,Openalex,"1. Age-associated loss of skeletal muscle mass and strength can partly be counteracted by resistance training, causing a net synthesis of muscular proteins. Protein synthesis is influenced synergistically by postexercise amino acid supplementation, but the importance of the timing of protein intake remains unresolved. 2. The study investigated the importance of immediate (P0) or delayed (P2) intake of an oral protein supplement upon muscle hypertrophy and strength over a period of resistance training in elderly males. 3. Thirteen men (age, 74 +/- 1 years; body mass index (BMI), 25 +/- 1 kg m(-2) (means +/- S.E.M.)) completed a 12 week resistance training programme (3 times per week) receiving oral protein in liquid form (10 g protein, 7 g carbohydrate, 3 g fat) immediately after (P0) or 2 h after (P2) each training session. Muscle hypertrophy was evaluated by magnetic resonance imaging (MRI) and from muscle biopsies and muscle strength was determined using dynamic and isokinetic strength measurements. Body composition was determined from dual-energy X-ray absorptiometry (DEXA) and food records were obtained over 4 days. The plasma insulin response to protein supplementation was also determined. 4. In response to training, the cross-sectional area of m. quadriceps femoris (54.6 +/- 0.5 to 58.3 +/- 0.5 cm(2)) and mean fibre area (4047 +/- 320 to 5019 +/- 615 microm(2)) increased in the P0 group, whereas no significant increase was observed in P2. For P0 both dynamic and isokinetic strength increased, by 46 and 15 %, respectively (P < 0.05), whereas P2 only improved in dynamic strength, by 36 % (P < 0.05). No differences in glucose or insulin response were observed between protein intake at 0 and 2 h postexercise. 5. We conclude that early intake of an oral protein supplement after resistance training is important for the development of hypertrophy in skeletal muscle of elderly men in response to resistance training."
"Muscle fiber hypertrophy, hyperplasia, and capillary density in college men after resistance training (1996)",1996,"Gary E. McCall, William C. Byrnes, A S Dickinson, Pradip M. Pattany, Steven J. Fleck",https://doi.org/10.1152/jappl.1996.81.5.2004,10.1152/jappl.1996.81.5.2004,Openalex,"Twelve male subjects with recreational resistance training backgrounds completed 12 wk of intensified resistance training (3 sessions/wk; 8 exercises/session; 3 sets/exercise; 10 repetitions maximum/set). All major muscle groups were trained, with four exercises emphasizing the forearm flexors. After training, strength (1-repetition maximum preacher curl) increased by 25% (P < 0.05). Magnetic resonance imaging scans revealed an increase in the biceps brachii muscle cross-sectional area (CSA) (from 11.8 +/- 2.7 to 13.3 +/- 2.6 cm2; n = 8; P < 0.05). Muscle biopsies of the biceps brachii revealed increases (P < 0.05) in fiber areas for type I (from 4,196 +/- 859 to 4,617 +/- 1,116 microns2; n = 11) and II fibers (from 6,378 +/- 1,552 to 7,474 +/- 2,017 microns2; n = 11). Fiber number estimated from the above measurements did not change after training (293.2 +/- 61.5 x 10(3) pretraining; 297.5 +/- 69.5 x 10(3) posttraining; n = 8). However, the magnitude of muscle fiber hypertrophy may influence this response because those subjects with less relative muscle fiber hypertrophy, but similar increases in muscle CSA, showed evidence of an increase in fiber number. Capillaries per fiber increased significantly (P < 0.05) for both type I (from 4.9 +/- 0.6 to 5.5 +/- 0.7; n = 10) and II fibers (from 5.1 +/- 0.8 to 6.2 +/- 0.7; n = 10). No changes occurred in capillaries per fiber area or muscle area. In conclusion, resistance training resulted in hypertrophy of the total muscle CSA and fiber areas with no change in estimated fiber number, whereas capillary changes were proportional to muscle fiber growth."
Resistance Training Volume Enhances Muscle Hypertrophy but Not Strength in Trained Men (2018),2018,"Brad J. Schöenfeld, Bret Contreras, JAMES KRIEGER, Jozo Grgić, Kenneth Delcastillo, et al.",https://doi.org/10.1249/mss.0000000000001764,10.1249/mss.0000000000001764,Openalex,"ABSTRACT Purpose The purpose of this study was to evaluate muscular adaptations between low-, moderate-, and high-volume resistance training protocols in resistance-trained men. Methods Thirty-four healthy resistance-trained men were randomly assigned to one of three experimental groups: a low-volume group performing one set per exercise per training session ( n = 11), a moderate-volume group performing three sets per exercise per training session ( n = 12), or a high-volume group performing five sets per exercise per training session ( n = 11). Training for all routines consisted of three weekly sessions performed on nonconsecutive days for 8 wk. Muscular strength was evaluated with one repetition maximum (RM) testing for the squat and bench press. Upper-body muscle endurance was evaluated using 50% of subjects bench press 1RM performed to momentary failure. Muscle hypertrophy was evaluated using B-mode ultrasonography for the elbow flexors, elbow extensors, mid-thigh, and lateral thigh. Results Results showed significant preintervention to postintervention increases in strength and endurance in all groups, with no significant between-group differences. Alternatively, while all groups increased muscle size in most of the measured sites from preintervention to postintervention, significant increases favoring the higher-volume conditions were seen for the elbow flexors, mid-thigh, and lateral thigh. Conclusions Marked increases in strength and endurance can be attained by resistance-trained individuals with just three 13-min weekly sessions over an 8-wk period, and these gains are similar to that achieved with a substantially greater time commitment. Alternatively, muscle hypertrophy follows a dose–response relationship, with increasingly greater gains achieved with higher training volumes."
Effects of Low- vs. High-Load Resistance Training on Muscle Strength and Hypertrophy in Well-Trained Men (2015),2015,"Brad J. Schöenfeld, Mark D. Peterson, Dan Ogborn, Bret Contreras, Gül Sönmez",https://doi.org/10.1519/jsc.0000000000000958,10.1519/jsc.0000000000000958,Openalex,"The purpose of this study was to compare the effect of low- versus high-load resistance training (RT) on muscular adaptations in well-trained subjects. Eighteen young men experienced in RT were matched according to baseline strength and then randomly assigned to 1 of 2 experimental groups: a low-load RT routine (LL) where 25-35 repetitions were performed per set per exercise (n = 9) or a high-load RT routine (HL) where 8-12 repetitions were performed per set per exercise (n = 9). During each session, subjects in both groups performed 3 sets of 7 different exercises representing all major muscles. Training was performed 3 times per week on nonconsecutive days, for a total of 8 weeks. Both HL and LL conditions produced significant increases in thickness of the elbow flexors (5.3 vs. 8.6%, respectively), elbow extensors (6.0 vs. 5.2%, respectively), and quadriceps femoris (9.3 vs. 9.5%, respectively), with no significant differences noted between groups. Improvements in back squat strength were significantly greater for HL compared with LL (19.6 vs. 8.8%, respectively), and there was a trend for greater increases in 1 repetition maximum (1RM) bench press (6.5 vs. 2.0%, respectively). Upper body muscle endurance (assessed by the bench press at 50% 1RM to failure) improved to a greater extent in LL compared with HL (16.6 vs. -1.2%, respectively). These findings indicate that both HL and LL training to failure can elicit significant increases in muscle hypertrophy among well-trained young men; however, HL training is superior for maximizing strength adaptations."
Skeletal Muscle Hypertrophy Following Resistance Training Is Accompanied by a Fiber Type-Specific Increase in Satellite Cell Content in Elderly Men (2009),2009,"Lex B. Verdijk, Benjamin G. Gleeson, Richard A. M. Jonkers, Kenneth Meijer, Hans H. C. M. Savelberg, et al.",https://doi.org/10.1093/gerona/gln050,10.1093/gerona/gln050,Openalex,"We determined muscle fiber type-specific hypertrophy and changes in satellite cell (SC) content following a 12-week resistance training program in 13 healthy, elderly men (72 +/- 2 years). Leg strength and body composition (dual-energy X-ray absorptiometry and computed tomography) were assessed, and muscle biopsy samples were collected. Leg strength increased 25%-30% after training (p < .001). Leg lean mass and quadriceps cross-sectional area increased 6%-9% (p < .001). At baseline, mean fiber area and SC content were smaller in the Type II versus Type I muscle fibers (p < .01). Following training, Type II muscle fiber area increased from 5,438 +/- 319 to 6,982 +/- 503 microm(2) (p < .01). Type II muscle fiber SC content increased from 0.048 +/- 0.003 to 0.084 +/- 0.008 SCs per fiber (p < .001). No changes were observed in the Type I muscle fibers. In older adults, skeletal muscle tissue is still capable of inducing SC proliferation and differentiation, resulting in Type II muscle fiber hypertrophy."
Resistance training‐induced changes in integrated myofibrillar protein synthesis are related to hypertrophy only after attenuation of muscle damage (2016),2016,"Felipe Damas, Stuart M. Phillips, Cleiton Augusto Libardi, Felipe C. Vechin, Manoel E. Lixandrão, et al.",https://doi.org/10.1113/jp272472,10.1113/jp272472,Openalex,"Skeletal muscle hypertrophy is one of the main outcomes of resistance training (RT), but how hypertrophy is modulated and the mechanisms regulating it are still unknown. To investigate how muscle hypertrophy is modulated through RT, we measured day-to-day integrated myofibrillar protein synthesis (MyoPS) using deuterium oxide and assessed muscle damage at the beginning (T1), at 3 weeks (T2) and at 10 weeks of RT (T3). Ten young men (27 (1) years, mean (SEM)) had muscle biopsies (vastus lateralis) taken to measure integrated MyoPS and muscle damage (Z-band streaming and indirect parameters) before, and 24 h and 48 h post resistance exercise (post-RE) at T1, T2 and T3. Fibre cross-sectional area (fCSA) was evaluated using biopsies at T1, T2 and T3. Increases in fCSA were observed only at T3 (P = 0.017). Changes in MyoPS post-RE at T1, T2 and T3 were greater at T1 (P < 0.03) than at T2 and T3 (similar values between T2 and T3). Muscle damage was the highest during post-RE recovery at T1, attenuated at T2 and further attenuated at T3. The change in MyoPS post-RE at both T2 and T3, but not at T1, was strongly correlated (r ≈ 0.9, P < 0.04) with muscle hypertrophy. Initial MyoPS response post-RE in an RT programme is not directed to support muscle hypertrophy, coinciding with the greatest muscle damage. However, integrated MyoPS is quickly 'refined' by 3 weeks of RT, and is related to muscle hypertrophy. We conclude that muscle hypertrophy is the result of accumulated intermittent changes in MyoPS post-RE in RT, which coincides with progressive attenuation of muscle damage."
Nutritional interventions to augment resistance training-induced skeletal muscle hypertrophy (2015),2015,"Robert W. Morton, Chris McGlory, Stuart M. Phillips",https://doi.org/10.3389/fphys.2015.00245,10.3389/fphys.2015.00245,Openalex,"Skeletal muscle mass is regulated by a balance between muscle protein synthesis (MPS) and muscle protein breakdown (MPB). In healthy humans, MPS is more sensitive (varying 4-5 times more than MPB) to changes in protein feeding and loading rendering it the primary locus determining gains in muscle mass. Performing resistance exercise (RE) followed by the consumption of protein results in an augmentation of MPS and, over time, can lead to muscle hypertrophy. The magnitude of the RE-induced increase in MPS is dictated by a variety of factors including: the dose of protein, source of protein, and possibly the distribution and timing of post-exercise protein ingestion. In addition, RE variables such as frequency of sessions, time under tension, volume, and training status play roles in regulating MPS. This review provides a brief overview of our current understanding of how RE and protein ingestion can influence gains in skeletal muscle mass in young, healthy individuals. It is the goal of this review to provide nutritional recommendations for optimal skeletal muscle adaptation. Specifically, we will focus on how the manipulation of protein intake during the recovery period following RE augments the adaptive response."
High‐intensity resistance training amplifies muscle hypertrophy and functional gains in persons with Parkinson's disease (2006),2006,"Leland E. Dibble, Tessa F. Hale, Robin L. Marcus, John Droge, J. Parry Gerber, et al.",https://doi.org/10.1002/mds.20997,10.1002/mds.20997,Openalex,"Strength deficits in persons with Parkinson's disease (PD) have been identified as a contributor to bradykinesia. However, there is little research that examines the effect of resistance training on muscle size, muscle force production, and mobility in persons with PD. The purpose of this exploratory study was to examine, in persons with PD, the changes in quadriceps muscle volume, muscle force production, and mobility as a result of a 12-week high-force eccentric resistance training program and to compare the effects to a standard-care control. Nineteen individuals with idiopathic PD were recruited and consented to participate. Matched assignment for age and disease severity resulted in 10 participants in the eccentric group and 9 participants in the control group. All participants were tested prior to and following a 12-week intervention period with testing and training conducted at standardized times in their medication cycle. The eccentric group performed high-force quadriceps contractions on an eccentric ergometer 3 days a week for 12 weeks. The standard-care group exercise program encompassed standard exercise management of PD. The outcome variables were quadriceps muscle volume, muscle force, and mobility measures (6-minute walk, stair ascent/descent time). Each outcome variable was tested using separate one-way analyses of covariance on the difference scores. Muscle volume, muscle force, and functional status improvements occurred in persons with PD as a result of high-force eccentric resistance training. The eccentric group demonstrated significantly greater difference scores for muscle structure, stair descent, and 6-minute walk (P < 0.05). Magnitude of effect size estimators for the eccentric group consistently exceeded those in the standard-care group for all variables. To our knowledge, this is the first clinical trial to investigate and demonstrate the effects of eccentric resistance training on muscle hypertrophy, strength, and mobility in persons with PD. Additional research is needed to determine the anatomical and neurological mechanisms of the observed strength gains and mobility improvements."
Acute and Chronic Hormonal Responses to Resistance Training Designed to Promote Muscle Hypertrophy (1999),1999,"Gary E. McCall, William C. Byrnes, Steven J. Fleck, A S Dickinson, William J. Kraemer",https://doi.org/10.1139/h99-009,10.1139/h99-009,Openalex,"Acute and chronic hormonal responses to resistance training were evaluated in 11 college men who completed 12 weeks (33 sessions) of high volume resistance training. No differences in resting concentrations of growth hormone (GH), insulin-like growth factor-I, testosterone, or sex hormone-binding globulin occurred from pre- and posttraining in the trained vs. nontrained control group. However, cortisol (c) decreased 17% for both groups (p < 0.05). There were no differences in exercise-induced responses between Sessions 10 and 20, with all hormone concentrations increasing (p < 0.05) from pre- at mid- and post exercise session. However, after correction for plasma volume decreases, only C and GH showed differences, with C increased from mid- to postsession (48% 10th; 49% 20th), and GH increased from pre- at mid- and postsession for both sessions 10 (0.16 +/- 0.42 pre; 4.77 +/- 6.24 mid; 6.26 +/- 5.19 post; microg x L-1) and 20 (0.33 +/- 0.85 pre; 5.42 +/- 9.08 mid; 8.24 +/- 7.61 post; microg x L-1). Significant correlations (p&lt 0.05) existed only between absolute mean GH increases from presession and the degree of muscle fiber hypertrophy for type I (r = 0.70 mid, 0.74 post) and type II (r = 0.71 post) fibers. In conclusion, resistance training had no effect on resting serum hormone concentrations, whereas similar acute exercise responses occurred between the 10th and 20th training sessions."
Effect of age on muscle hypertrophy induced by resistance training (1996),1996,"Stephen Welle, Saara Tötterman, Charles A. Thornton",https://doi.org/10.1093/gerona/51a.6.m270,10.1093/gerona/51a.6.m270,Openalex,"Aging can attenuate the hypertrophic response of muscle groups to resistance training, when the training load is proportional to baseline strength. However, aging does not impair training-induced increases in specific tension."
Recent Perspectives Regarding the Role of Dietary Protein for the Promotion of Muscle Hypertrophy with Resistance Exercise Training (2018),2018,"Tanner Stokes, Amy J. Hector, Robert W. Morton, Chris McGlory, Stuart M. Phillips",https://doi.org/10.3390/nu10020180,10.3390/nu10020180,Openalex,"Skeletal muscle supports locomotion and serves as the largest site of postprandial glucose disposal; thus it is a critical organ for physical and metabolic health. Skeletal muscle mass is regulated by the processes of muscle protein synthesis (MPS) and muscle protein breakdown (MPB), both of which are sensitive to external loading and aminoacidemia. Hyperaminoacidemia results in a robust but transient increase in rates of MPS and a mild suppression of MPB. Resistance exercise potentiates the aminoacidemia-induced rise in MPS that, when repeated over time, results in gradual radial growth of skeletal muscle (i.e., hypertrophy). Factors that affect MPS include both quantity and composition of the amino acid source. Specifically, MPS is stimulated in a dose-responsive manner and the primary amino acid agonist of this process is leucine. MPB also appears to be regulated in part by protein intake, which can exert a suppressive effect on MPB. At high protein doses the suppression of MPB may interfere with skeletal muscle adaptation following resistance exercise. In this review, we examine recent advancements in our understanding of how protein ingestion impacts skeletal muscle growth following resistance exercise in young adults during energy balance and energy restriction. We also provide practical recommendations for exercisers who wish to maximize the hypertrophic response of skeletal muscle during resistance exercise training."
Elevations in ostensibly anabolic hormones with resistance exercise enhance neither training-induced muscle hypertrophy nor strength of the elbow flexors (2009),2009,"Daniel W. D. West, Nicholas A. Burd, Jason E. Tang, Daniel R. Moore, Aaron W. Staples, et al.",https://doi.org/10.1152/japplphysiol.01147.2009,10.1152/japplphysiol.01147.2009,Openalex,"The aim of our study was to determine whether resistance exercise-induced elevations in endogenous hormones enhance muscle strength and hypertrophy with training. Twelve healthy young men (21.8 +/- 1.2 yr, body mass index = 23.1 +/- 0.6 kg/m(2)) trained their elbow flexors independently for 15 wk on separate days and under different hormonal milieu. In one training condition, participants performed isolated arm curl exercise designed to maintain basal hormone concentrations (low hormone, LH); in the other training condition, participants performed identical arm exercise to the LH condition followed immediately by a high volume of leg resistance exercise to elicit a large increase in endogenous hormones (high hormone, HH). There was no elevation in serum growth hormone (GH), insulin-like growth factor (IGF-1), or testosterone after the LH protocol but significant (P < 0.001) elevations in these hormones immediately and 15 and 30 min after the HH protocol. The hormone responses elicited by each respective exercise protocol late in the training period were similar to the response elicited early in the training period, indicating that a divergent postexercise hormone response was maintained over the training period. Muscle cross-sectional area (CSA) increased by 12% in LH and 10% in HH (P < 0.001) with no difference between conditions (condition x training interaction, P = 0.25). Similarly, type I (P < 0.01) and type II (P < 0.001) muscle fiber CSA increased with training with no effect of hormone elevation in the HH condition. Strength increased in both arms, but the increase was not different between the LH and HH conditions. We conclude that exposure of loaded muscle to acute exercise-induced elevations in endogenous anabolic hormones enhances neither muscle hypertrophy nor strength with resistance training in young men."
"Effect of resistance training combined with carbohydrate and protein supplementation on the HOMA-IR, glycemic, lipid profile and hypertrophy of older adults with Type II Diabetes: secondary data analysis of a triple-blind RCT. (2026)",2026,"Rosa Juliana Leme, Dos Santos Lino Matheus Henrique, Grecco Marcus Vinicius, de Lima Adriana Machado Saldiba, Dos Santos Joselma Rodrigues et al.",https://pubmed.ncbi.nlm.nih.gov/41931150/,10.1007/s40520-026-03374-8,Pubmed,"INTRODUCTION: Type 2 diabetes mellitus (T2DM) is a prevalent chronic disease associated with major health complications, including cardiovascular risk. OBJECTIVE: To evaluate the effects of resistance training (RT) combined with protein or carbohydrate supplementation on muscle strength, hypertrophy, and glycemic and lipid profiles in older adults with T2DM. METHODS: A triple-blind randomized clinical trial was conducted with 60 men with T2DM, allocated into three groups: Protein Group (20 g whey protein), Maltodextrin Group (20 g maltodextrin), and Control Group (colored water). All participants completed a 12-week RT program performed twice weekly. Each session included six exercises, with three sets of 8-12 repetitions, guided by subjective perception of effort. Muscle strength progression was monitored through training loads. Glycemic response, HOMA-IR, and lipid profile were analyzed, while muscle thickness of the biceps brachii and vastus lateralis was measured using ultrasound. RESULTS: The Protein Group showed a significant reduction in HOMA-IR (p = 0.03), indicating improved insulin resistance. Lipid profile variables showed no significant changes across groups. Most exercises demonstrated significant load progression, except rowing and standing curls. Muscle thickness did not show significant differences in either muscle evaluated. RT improved muscle strength regardless of supplementation type but did not produce significant hypertrophy. Protein supplementation significantly reduced HOMA-IR, indicating early improvements in insulin sensitivity, whereas carbohydrate supplementation showed no metabolic effect. Lipid profile parameters remained unchanged, and no significant changes were observed in HbA1c or fasting glycemia."
Effect of resistance training with different occlusion pressure on hand grip strength and forearm girth among young adults- A pilot study. (2026),2026,"Kumar Tarun, Gujral Tanya",https://pubmed.ncbi.nlm.nih.gov/41927184/,10.1016/j.jbmt.2025.11.020,Pubmed,"BACKGROUND: Since skeletal muscle is essential for metabolism and self-sufficiency, methods to preserve or improve its mass and strength are therapeutically significant. Although hypertrophy and strength improvements can be effectively achieved by high-resistance training, excessive joint loading is frequently caused by the resistance levels being too high. You can train with low loads using Blood Flow Restriction Training (BFRT), which has the same hypertrophic and strength-building effects as conventional high-resistance training. The effects of constant occlusion pressure versus occlusion pressure that is established during a BFRT session on results, however, are not well understood. AIM: The goal is to evaluate how muscle strength and girth are affected by constant versus dynamic occlusion pressure after BFRT. METHODOLOGY: Participants were split into two groups: Group A used a fixed occlusion pressure decided on Day 1 to perform BFRT whileGroup B employed occlusion pressure measured before each session. Forearm girth and hand grip strength were measured both before and after the training session. Both independent and paired t-tests were used to analyze the data. RESULT: A significant difference in forearm girth was found across groups (p < 0.05). Group B's muscle strength and both groups' muscle girth improved significantly, according to within-group analyses (p < 0.05). Across sessions, the session-specific pressure technique (Group B) showed more flexibility and reactivity to physiological changes. CONCLUSION: In summary, assessing arterial occlusion pressure prior to each training session improves the accuracy and efficacy of BFRT and supports customised, secure, and clinically flexible exercise regimens. This study offers fresh data that helps determine the best way to use BFRT in performance and rehabilitation contexts."
Acute and Chronic Effects of Drop-Set Training: A Meta-Analysis and Systematic Review. (2026),2026,"Havers Tim, Micke Florian, Geisler Stephan, Held Steffen",https://pubmed.ncbi.nlm.nih.gov/41920484/,10.1186/s40798-026-01012-1,Pubmed,"BACKGROUND: Drop-set training (DROP) is a time-efficient resistance training method for hypertrophy and strength. Its long-term adaptations remain debated, particularly in relation to its acute physiological responses such as metabolic stress and fatigue. This meta-analysis examines both acute and chronic effects of DROP to provide a comprehensive evaluation of its efficacy. METHODS: A systematic search was conducted across PubMed, Web of Science, SCOPUS, and SPORTDiscus up to January 20, 2026, following PRISMA guidelines. Studies comparing DROP and traditional resistance training (TRAD) on hypertrophy, strength, metabolic stress, fatigue, and perceived exertion were included. Data extraction and risk of bias assessment were performed using the PEDro scale. Meta-analyses were conducted using a random-effects model. RESULTS: The meta-analysis, based on 12 studies (n = 274 participants), revealed significant increases in ratings of perceived exertion (SMD = 1.62, 95% CI [0.33 to 2.91]) and lactate levels (SMD = 0.67, 95% CI [0.20 to 1.14]) for DROP. A trend in favor of DROP was observed for heart rate, although this did not reach statistical significance (SMD = 0.45, 95% CI [- 0.12 to 1.02]). No significant differences were observed between DROP and TRAD for chronic hypertrophy (SMD = 0.04, 95% CI [- 0.29 to 0.36]), strength (SMD = - 0.04, 95% CI [- 0.34 to 0.26]), or muscle endurance adaptations (SMD = 0.53, 95% CI [- 0.20 to 1.26]). CONCLUSION: DROP offers a time-efficient alternative to TRAD, yielding comparable long-term gains in muscle hypertrophy and strength. Based on current evidence, DROP acutely induces significantly higher perceived exertion and lactate responses, whereas heart rate shows no consistent differences between methods. Practitioners should consider these elevated perceptual demands and potential recovery needs when integrating DROP into long-term training periodization."
Structured Horticultural Therapy Enhances Muscle Strength and Mass in Aging Women at Risk of Sarcopenia. (2026),2026,"Wu Chen-Fa, Fungfoo Phasakorn, Hsu Yuan-Shan, Liu Tzu-Yao, Chou Li-Wei",https://pubmed.ncbi.nlm.nih.gov/41904665/,10.1093/qjmed/hcag094,Pubmed,"BACKGROUND: Sarcopenia, characterized by the progressive decline of skeletal muscle mass, strength, and physical performance, is commonly observed among older people and significantly impairs quality of life. Horticultural therapy can maintain muscle mass and reduce waist circumference in healthy participants but remains underutilized in the aging women of sarcopenia. AIM: To investigate the effects of a structured horticultural therapy program on muscle strength and mass in aging women at risk of sarcopenia, an age-related condition characterized by progressive skeletal muscle loss and weakness. DESIGN: A 12-week, assessor-blinded, non-randomized controlled trial. METHODS: The study was conducted with 20 women aged ≥50 years with SARC-CalF scores ≥11. Participants were assigned to either a treatment group (n = 11) or a control group (n = 9). The intervention consisted of 100-minute sessions twice a week, involving gardening tasks with a progressive workload adapted based on resistance training principles. The primary outcome was peak quadriceps electromyographic (EMG) activity; secondary outcomes included handgrip strength and skeletal muscle mass. RESULTS: The median participant age was 64.5 years. In the treatment group, left leg EMG activity increased by 93.1% (p < 0.001, Δ = 80.4) post-intervention, with 56.9% (p = 0.037, Δ = 49.2) retained at follow-up. Right leg EMG improved by 39.3% (p = 0.008, Δ = 39.0), rising to 56.4% (p = 0.018, Δ = 56.2) at follow-up. No significant changes were observed in the control group. Between-group comparisons revealed a significantly greater improvement in the treatment group (38% difference, p = 0.010). Improvements were also noted in handgrip strength, total body, upper, and lower limb muscle mass. Adherence was 100%, with no adverse events reported. CONCLUSION: Structured horticultural therapy may serve as a safe and effective intervention to enhance muscle health in older adults at risk of sarcopenia."
